Model,postcode,date,Price Category,Value
Actual,AB12 5YB,19/09/2024,Standard,66.56
Actual,AB12 5YB,19/09/2024,Express 5,66.55
Actual,AB12 5YB,19/09/2024,Express 3,70.75
Actual,AB12 5YB,19/09/2024,Express 2,91.22
Actual,AB12 5YB,19/09/2024,Emergency,91.2
Actual,AB12 5YB,20/09/2024,Standard,66.56
Actual,AB12 5YB,20/09/2024,Express 5,66.55
Actual,AB12 5YB,20/09/2024,Express 3,70.75
Actual,AB12 5YB,20/09/2024,Express 2,91.22
Actual,AB12 5YB,20/09/2024,Emergency,91.2
Actual,AB12 5YB,21/09/2024,Standard,66.56
Actual,AB12 5YB,21/09/2024,Express 5,66.55
Actual,AB12 5YB,21/09/2024,Express 3,70.75
Actual,AB12 5YB,21/09/2024,Express 2,91.22
Actual,AB12 5YB,21/09/2024,Emergency,91.2
Actual,AB12 5YB,22/09/2024,Standard,66.56
Actual,AB12 5YB,22/09/2024,Express 5,66.55
Actual,AB12 5YB,22/09/2024,Express 3,70.75
Actual,AB12 5YB,22/09/2024,Express 2,91.22
Actual,AB12 5YB,22/09/2024,Emergency,91.2
Actual,AB12 5YB,23/09/2024,Standard,66.56
Actual,AB12 5YB,23/09/2024,Express 5,66.53
Actual,AB12 5YB,23/09/2024,Express 3,70.75
Actual,AB12 5YB,23/09/2024,Express 2,91.2
Actual,AB12 5YB,23/09/2024,Emergency,91.18
Actual,AB12 5YB,24/09/2024,Standard,66.52
Actual,AB12 5YB,24/09/2024,Express 5,66.53
Actual,AB12 5YB,24/09/2024,Express 3,70.75
Actual,AB12 5YB,24/09/2024,Express 2,91.2
Actual,AB12 5YB,24/09/2024,Emergency,91.18
Actual,AB12 5YB,25/09/2024,Standard,66.52
Actual,AB12 5YB,25/09/2024,Express 5,66.53
Actual,AB12 5YB,25/09/2024,Express 3,70.75
Actual,AB12 5YB,25/09/2024,Express 2,91.2
Actual,AB12 5YB,25/09/2024,Emergency,91.18
Actual,AB12 5YB,26/09/2024,Standard,66.5
Actual,AB12 5YB,26/09/2024,Express 5,66.53
Actual,AB12 5YB,26/09/2024,Express 3,70.75
Actual,AB12 5YB,26/09/2024,Express 2,90.87
Actual,AB12 5YB,26/09/2024,Emergency,90.85
Actual,AB30 1XS,19/09/2024,Standard,72.79
Actual,AB30 1XS,19/09/2024,Express 5,72.79
Actual,AB30 1XS,19/09/2024,Express 3,75.71
Actual,AB30 1XS,19/09/2024,Express 2,76.06
Actual,AB30 1XS,19/09/2024,Emergency,82.09
Actual,AB30 1XS,20/09/2024,Standard,72.77
Actual,AB30 1XS,20/09/2024,Express 5,72.77
Actual,AB30 1XS,20/09/2024,Express 3,75.69
Actual,AB30 1XS,20/09/2024,Express 2,76.04
Actual,AB30 1XS,20/09/2024,Emergency,82.07
Actual,AB30 1XS,21/09/2024,Standard,72.77
Actual,AB30 1XS,21/09/2024,Express 5,72.77
Actual,AB30 1XS,21/09/2024,Express 3,75.69
Actual,AB30 1XS,21/09/2024,Express 2,76.04
Actual,AB30 1XS,21/09/2024,Emergency,82.07
Actual,AB30 1XS,22/09/2024,Standard,72.77
Actual,AB30 1XS,22/09/2024,Express 5,72.77
Actual,AB30 1XS,22/09/2024,Express 3,75.69
Actual,AB30 1XS,22/09/2024,Express 2,76.04
Actual,AB30 1XS,22/09/2024,Emergency,82.07
Actual,AB30 1XS,23/09/2024,Standard,72.76
Actual,AB30 1XS,23/09/2024,Express 5,72.76
Actual,AB30 1XS,23/09/2024,Express 3,75.69
Actual,AB30 1XS,23/09/2024,Express 2,76.04
Actual,AB30 1XS,23/09/2024,Emergency,82.05
Actual,AB30 1XS,24/09/2024,Standard,72.7
Actual,AB30 1XS,24/09/2024,Express 5,72.75
Actual,AB30 1XS,24/09/2024,Express 3,75.67
Actual,AB30 1XS,24/09/2024,Express 2,76.02
Actual,AB30 1XS,24/09/2024,Emergency,82.05
Actual,AB30 1XS,25/09/2024,Standard,72.69
Actual,AB30 1XS,25/09/2024,Express 5,72.69
Actual,AB30 1XS,25/09/2024,Express 3,75.61
Actual,AB30 1XS,25/09/2024,Express 2,75.96
Actual,AB30 1XS,25/09/2024,Emergency,81.99
Actual,AB30 1XS,26/09/2024,Standard,72.65
Actual,AB30 1XS,26/09/2024,Express 5,72.65
Actual,AB30 1XS,26/09/2024,Express 3,75.57
Actual,AB30 1XS,26/09/2024,Express 2,75.92
Actual,AB30 1XS,26/09/2024,Emergency,81.94
Actual,AB35 5SQ,19/09/2024,Standard,72.9
Actual,AB35 5SQ,19/09/2024,Express 5,74.84
Actual,AB35 5SQ,19/09/2024,Express 3,82.29
Actual,AB35 5SQ,19/09/2024,Express 2,91.2
Actual,AB35 5SQ,19/09/2024,Emergency,91.21
Actual,AB35 5SQ,20/09/2024,Standard,72.9
Actual,AB35 5SQ,20/09/2024,Express 5,74.84
Actual,AB35 5SQ,20/09/2024,Express 3,82.29
